report_date,slug_id,slug_name,report_title,group,category,commodity,class,period,slaughter_date,slaughter
2024-06-07 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-06-06 00:00:00.000,23000
2024-06-06 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-06-05 00:00:00.000,23000
2024-06-03 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-31 00:00:00.000,23000
2024-05-24 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-23 00:00:00.000,23000
2024-05-20 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-17 00:00:00.000,23000
2024-05-17 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-16 00:00:00.000,23000
2024-05-16 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-15 00:00:00.000,23000
2024-05-13 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-10 00:00:00.000,23000
2024-05-09 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-08 00:00:00.000,23000
2024-05-06 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-05-03 00:00:00.000,23000
2024-04-29 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-04-26 00:00:00.000,23000
2024-04-09 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-04-08 00:00:00.000,23000
2024-01-18 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-01-17 00:00:00.000,23000
2024-01-16 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2024-01-15 00:00:00.000,23000
2024-01-01 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Steers/Heifers","Previous",2023-12-30 00:00:00.000,23000
2025-12-08 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-12-05 00:00:00.000,22000
2025-12-04 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-12-03 00:00:00.000,22000
2025-11-17 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-11-14 00:00:00.000,22000
2025-11-07 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-11-06 00:00:00.000,22000
2025-10-17 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-10-16 00:00:00.000,22000
2025-10-16 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-10-15 00:00:00.000,22000
2025-10-10 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-10-09 00:00:00.000,22000
2025-10-03 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-10-02 00:00:00.000,22000
2025-09-25 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-09-24 00:00:00.000,22000
2025-09-10 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-09-09 00:00:00.000,22000
2025-08-27 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-08-26 00:00:00.000,22000
2025-07-25 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-07-24 00:00:00.000,22000
2025-06-13 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-06-12 00:00:00.000,22000
2025-06-11 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-06-10 00:00:00.000,22000
2025-06-06 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-06-05 00:00:00.000,22000
2025-06-04 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-06-03 00:00:00.000,22000
2025-05-30 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-05-29 00:00:00.000,22000
2025-05-28 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-05-27 00:00:00.000,22000
2025-05-23 00:00:00.000,"3208","AMS_3208","Daily Livestock and Poultry Slaughter","Livestock","INSPECTED SLAUGHTER (ESTIMATE)","Cattle","Cows/Bulls","Previous",2025-05-22 00:00:00.000,22000
