report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-05-03,Flank,111.73,109.47,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Cutout,201.68,190.13,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Rib,296.74,272.95,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Brisket,133.19,133.75,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Round,162.11,160.95,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Trim,97.62,97.62,185,2013,86,2013-04-28,2013-05-03
2013-05-06,Chuck,162.67,158.63,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Brisket,132.93,133.62,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Plate,139.6,142.55,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Rib,292.39,273.82,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Round,162.46,161.2,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Cutout,200.26,189.61,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Loin,294.2,259.67,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Flank,110.48,110.4,191,2013,87,2013-05-05,2013-05-10
2013-05-06,Trim,96.79,96.79,191,2013,87,2013-05-05,2013-05-10
2013-05-07,Plate,139.98,142.96,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Brisket,134.03,132.82,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Cutout,201.19,190.26,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Rib,294.1,272.16,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Loin,295.9,261.43,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Chuck,163.15,160.17,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Trim,97.05,97.05,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Round,163.01,161.34,192,2013,88,2013-05-05,2013-05-10
2013-05-07,Flank,111.24,110.15,192,2013,88,2013-05-05,2013-05-10
2013-05-08,Chuck,164.62,162.03,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Rib,302.94,268.05,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Loin,304.69,262.06,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Cutout,204.67,190.63,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Round,163.6,162.02,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Plate,139.52,142.51,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Brisket,134.44,133.24,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Trim,96.81,96.81,193,2013,89,2013-05-05,2013-05-10
2013-05-08,Flank,113.47,110.24,193,2013,89,2013-05-05,2013-05-10
2013-05-09,Flank,113.93,110.53,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Chuck,164.35,162.22,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Brisket,134.59,133.61,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Loin,307.27,262.52,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Cutout,205.49,191.03,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Round,164.58,162.71,194,2013,90,2013-05-05,2013-05-10
