date,lbs,year,indexby_year
2019-12-28,387.8,2019,52
2020-01-04,450.7,2020,1
2020-01-11,577.4,2020,2
2020-01-18,521.8,2020,3
2020-01-25,534.6,2020,4
2020-02-01,528.5,2020,5
2020-02-08,520.3,2020,6
2020-02-15,511.5,2020,7
2020-02-22,518.7,2020,8
2020-02-29,519.3,2020,9
2020-03-07,536.6,2020,10
2020-03-14,525.0,2020,11
2020-03-21,541.6,2020,12
2020-03-28,561.0,2020,13
2020-04-04,519.3,2020,14
2020-04-11,443.5,2020,15
2020-04-18,413.9,2020,16
2020-04-25,381.6,2020,17
2020-05-02,347.1,2020,18
2020-05-09,367.7,2020,19
2020-05-16,405.2,2020,20
2020-05-23,451.4,2020,21
2020-05-30,428.6,2020,22
2020-06-06,522.6,2020,23
2020-06-13,542.2,2020,24
2020-06-20,541.0,2020,25
2020-06-27,562.3,2020,26
2020-07-04,490.7,2020,27
2020-07-11,544.5,2020,28
2020-07-18,538.4,2020,29
2020-07-25,537.3,2020,30
2020-08-01,530.3,2020,31
2020-08-08,527.2,2020,32
2020-08-15,532.4,2020,33
2020-08-22,542.9,2020,34
2020-08-29,544.6,2020,35
2020-09-05,527.3,2020,36
2020-09-12,479.7,2020,37
2020-09-19,540.1,2020,38
2020-09-26,546.6,2020,39
2020-10-03,558.1,2020,40
2020-10-10,535.3,2020,41
2020-10-17,549.7,2020,42
2020-10-24,541.4,2020,43
2020-10-31,537.3,2020,44
2020-11-07,545.1,2020,45
2020-11-14,549.8,2020,46
2020-11-21,559.1,2020,47
2020-11-28,473.9,2020,48
2020-12-05,559.8,2020,49
2020-12-12,559.0,2020,50
2020-12-19,553.5,2020,51
2020-12-26,352.5,2020,52
2021-01-01,432.6,2021,1
2021-01-08,544.9,2021,2
2021-01-15,544.8,2021,3
2021-01-22,550.2,2021,4
2021-01-29,550.1,2021,5
2021-02-05,551.3,2021,6
2021-02-12,516.3,2021,7
2021-02-19,465.9,2021,8
2021-02-26,561.1,2021,9
2021-03-05,559.2,2021,10
2021-03-12,541.0,2021,11
2021-03-19,521.5,2021,12
2021-03-26,537.0,2021,13
2021-04-02,504.7,2021,14
2021-04-09,530.9,2021,15
2021-04-16,530.2,2021,16
2021-04-23,550.2,2021,17
2021-04-30,537.3,2021,18
2021-05-07,527.3,2021,19
2021-05-14,527.6,2021,20
2021-05-21,550.7,2021,21
2021-05-28,518.0,2021,22
2021-06-04,443.0,2021,23
2021-06-11,545.7,2021,24
2021-06-18,543.1,2021,25
2021-06-25,540.2,2021,26
2021-07-02,510.8,2021,27
2021-07-09,467.9,2021,28
2021-07-16,531.2,2021,29
2021-07-23,527.2,2021,30
2021-07-30,528.3,2021,31
2021-08-06,522.7,2021,32
2021-08-13,519.1,2021,33
2021-08-20,543.5,2021,34
2021-08-27,531.9,2021,35
2021-09-03,511.4,2021,36
2021-09-10,473.2,2021,37
2021-09-17,539.8,2021,38
2021-09-24,527.9,2021,39
2021-10-01,526.2,2021,40
2021-10-08,544.1,2021,41
2021-10-15,535.1,2021,42
2021-10-22,548.9,2021,43
2021-10-29,555.6,2021,44
2021-11-05,540.7,2021,45
2021-11-12,544.5,2021,46
2021-11-19,562.0,2021,47
2021-11-26,470.5,2021,48
2021-12-03,562.5,2021,49
2021-12-10,558.6,2021,50
2021-12-17,550.6,2021,51
2021-12-24,409.7,2021,52
2021-12-31,450.1,2021,53
2022-01-07,519.9,2022,1
2022-01-14,519.4,2022,2
2022-01-21,535.5,2022,3
2022-01-28,540.8,2022,4
2022-02-04,537.0,2022,5
2022-02-11,554.3,2022,6
2022-02-18,556.6,2022,7
2022-02-25,544.7,2022,8
2022-03-04,549.7,2022,9
2022-03-11,540.7,2022,10
2022-03-18,540.9,2022,11
2022-03-25,552.6,2022,12
2022-04-01,534.8,2022,13
2022-04-08,559.6,2022,14
2022-04-15,527.7,2022,15
2022-04-22,552.6,2022,16
2022-04-29,539.2,2022,17
2022-05-06,545.5,2022,18
2022-05-13,544.5,2022,19
2022-05-20,561.8,2022,20
2022-05-27,529.4,2022,21
2022-06-03,493.3,2022,22
2022-06-10,548.2,2022,23
2022-06-17,541.3,2022,24
2022-06-24,539.1,2022,25
2022-07-01,514.5,2022,26
2022-07-08,479.3,2022,27
2022-07-15,544.5,2022,28
2022-07-22,538.8,2022,29
2022-07-29,542.4,2022,30
2022-08-05,528.2,2022,31
2022-08-12,524.5,2022,32
2022-08-19,535.8,2022,33
2022-08-26,551.3,2022,34
2022-09-02,520.1,2022,35
2022-09-09,494.1,2022,36
2022-09-16,546.5,2022,37
2022-09-23,548.9,2022,38
2022-09-30,549.0,2022,39
2022-10-07,550.2,2022,40
2022-10-14,547.1,2022,41
2022-10-21,557.4,2022,42
2022-10-28,554.0,2022,43
2022-11-04,553.9,2022,44
2022-11-11,558.2,2022,45
2022-11-18,561.3,2022,46
2022-11-25,497.1,2022,47
2022-12-02,553.7,2022,48
2022-12-09,546.1,2022,49
2022-12-16,523.1,2022,50
2022-12-23,470.4,2022,51
2022-12-31,456.1,2022,52
