date,lbs,year,indexby_year
2020-08-29,560.0,2020,35
2020-09-05,527.3,2020,36
2020-09-12,489.0,2020,37
2020-09-19,541.6,2020,38
2020-09-26,547.1,2020,39
2020-10-03,549.2,2020,40
2020-10-10,579.1,2020,41
2020-10-17,572.7,2020,42
2020-10-24,572.6,2020,43
2020-10-31,577.8,2020,44
2020-11-07,586.4,2020,45
2020-11-14,581.8,2020,46
2020-11-21,589.6,2020,47
2020-11-28,512.7,2020,48
2020-12-05,606.8,2020,49
2020-12-12,604.0,2020,50
2020-12-19,610.2,2020,51
2020-12-26,381.4,2020,52
2021-01-02,474.8,2021,1
2021-01-09,621.4,2021,2
2021-01-16,576.8,2021,3
2021-01-23,601.6,2021,4
2021-01-30,587.1,2021,5
2021-02-06,590.7,2021,6
2021-02-13,583.1,2021,7
2021-02-20,532.7,2021,8
2021-02-27,576.1,2021,9
2021-03-06,557.1,2021,10
2021-03-13,559.2,2021,11
2021-03-20,547.7,2021,12
2021-03-27,552.7,2021,13
2021-04-03,535.4,2021,14
2021-04-10,531.3,2021,15
2021-04-17,536.0,2021,16
2021-04-24,536.9,2021,17
2021-05-01,537.3,2021,18
2021-05-08,522.5,2021,19
2021-05-15,518.1,2021,20
2021-05-22,516.3,2021,21
2021-05-29,511.8,2021,22
2021-06-05,424.4,2021,23
2021-06-12,523.4,2021,24
2021-06-19,522.9,2021,25
2021-06-26,505.0,2021,26
2021-07-03,485.4,2021,27
2021-07-10,406.7,2021,28
2021-07-17,479.1,2021,29
2021-07-24,488.7,2021,30
2021-07-31,484.2,2021,31
2021-08-07,486.6,2021,32
2021-08-14,504.0,2021,33
2021-08-21,511.8,2021,34
2021-08-28,509.6,2021,35
2021-09-04,499.6,2021,36
2021-09-11,467.5,2021,37
2021-09-18,528.9,2021,38
2021-09-25,539.1,2021,39
2021-10-02,527.8,2021,40
2021-10-09,547.1,2021,41
2021-10-16,554.5,2021,42
2021-10-23,551.4,2021,43
2021-10-30,543.8,2021,44
2021-11-06,556.9,2021,45
2021-11-13,560.8,2021,46
2021-11-20,565.4,2021,47
2021-11-27,487.9,2021,48
2021-12-04,574.6,2021,49
2021-12-11,556.7,2021,50
2021-12-18,574.4,2021,51
2021-12-25,417.3,2021,52
2022-01-08,557.4,2022,1
2022-01-15,513.4,2022,2
2022-01-22,531.4,2022,3
2022-01-29,552.5,2022,4
2022-02-05,536.1,2022,5
2022-02-12,551.6,2022,6
2022-02-19,546.8,2022,7
2022-02-26,545.8,2022,8
2022-03-05,528.0,2022,9
2022-03-12,540.1,2022,10
2022-03-19,529.5,2022,11
2022-03-26,527.6,2022,12
2022-04-02,531.0,2022,13
2022-04-09,529.5,2022,14
2022-04-16,511.4,2022,15
2022-04-23,519.2,2022,16
2022-04-30,522.2,2022,17
2022-05-07,527.1,2022,18
2022-05-14,518.4,2022,19
2022-05-21,527.6,2022,20
2022-05-28,511.7,2022,21
2022-06-04,445.5,2022,22
2022-06-11,515.1,2022,23
2022-06-18,515.0,2022,24
2022-06-25,499.4,2022,25
2022-07-02,493.5,2022,26
2022-07-09,423.6,2022,27
2022-07-16,481.4,2022,28
2022-07-23,486.0,2022,29
2022-07-30,486.5,2022,30
2022-08-06,494.2,2022,31
2022-08-13,491.4,2022,32
2022-08-20,504.6,2022,33
2022-08-27,505.5,2022,34
2022-09-03,494.5,2022,35
2022-09-10,470.5,2022,36
2022-09-17,517.6,2022,37
2022-09-24,534.5,2022,38
2022-10-01,534.2,2022,39
2022-10-08,542.7,2022,40
2022-10-15,540.2,2022,41
2022-10-22,547.0,2022,42
2022-10-29,545.7,2022,43
2022-11-05,551.5,2022,44
2022-11-12,536.6,2022,45
2022-11-19,558.4,2022,46
2022-11-26,476.0,2022,47
2022-12-03,557.8,2022,48
2022-12-10,553.2,2022,49
2022-12-17,559.8,2022,50
2022-12-24,385.3,2022,51
2022-12-31,475.5,2022,52
2023-01-07,495.9,2023,1
2023-01-14,580.9,2023,2
2023-01-21,550.7,2023,3
2023-01-28,554.8,2023,4
2023-02-04,567.4,2023,5
2023-02-11,541.3,2023,6
2023-02-18,543.9,2023,7
2023-02-25,514.5,2023,8
2023-03-04,543.6,2023,9
2023-03-11,539.8,2023,10
2023-03-18,539.7,2023,11
2023-03-25,532.5,2023,12
2023-04-01,540.3,2023,13
2023-04-08,514.4,2023,14
2023-04-15,527.1,2023,15
2023-04-22,532.6,2023,16
2023-04-29,518.2,2023,17
2023-05-06,531.2,2023,18
2023-05-13,513.5,2023,19
2023-05-20,519.1,2023,20
2023-05-27,510.8,2023,21
2023-06-03,436.7,2023,22
2023-06-10,505.4,2023,23
2023-06-17,498.2,2023,24
2023-06-24,505.7,2023,25
2023-07-01,496.0,2023,26
2023-07-08,413.6,2023,27
2023-07-15,489.9,2023,28
2023-07-22,485.8,2023,29
2023-07-29,501.0,2023,30
2023-08-05,489.1,2023,31
2023-08-12,491.3,2023,32
2023-08-19,501.9,2023,33
2023-08-26,517.4,2023,34
2023-09-02,492.8,2023,35
2023-09-09,461.1,2023,36
2023-09-16,521.5,2023,37
2023-09-23,523.2,2023,38
2023-09-30,538.3,2023,39
2023-10-07,533.4,2023,40
2023-10-14,545.0,2023,41
2023-10-21,547.2,2023,42
2023-10-28,550.1,2023,43
2023-11-04,564.2,2023,44
2023-11-11,546.3,2023,45
2023-11-18,562.6,2023,46
2023-11-25,474.3,2023,47
2023-12-02,575.8,2023,48
2023-12-09,573.0,2023,49
2023-12-16,577.8,2023,50
2023-12-23,523.1,2023,51
2023-12-30,480.7,2023,52
2024-01-06,512.1,2024,1
2024-01-13,470.3,2024,2
2024-01-20,571.0,2024,3
2024-01-27,585.8,2024,4
2024-02-03,586.8,2024,5
2024-02-10,570.4,2024,6
2024-02-17,556.0,2024,7
2024-02-24,558.9,2024,8
2024-03-02,551.1,2024,9
2024-03-09,530.3,2024,10
2024-03-16,531.9,2024,11
2024-03-23,545.8,2024,12
2024-03-30,517.6,2024,13
2024-04-06,521.2,2024,14
2024-04-13,534.6,2024,15
2024-04-20,536.0,2024,16
2024-04-27,513.3,2024,17
2024-05-04,520.1,2024,18
2024-05-11,513.0,2024,19
2024-05-18,517.5,2024,20
2024-05-25,508.4,2024,21
2024-06-01,464.1,2024,22
2024-06-08,521.2,2024,23
2024-06-15,513.0,2024,24
2024-06-22,521.5,2024,25
2024-06-29,521.5,2024,26
2024-07-06,435.8,2024,27
2024-07-13,503.5,2024,28
2024-07-20,503.0,2024,29
2024-07-27,515.4,2024,30
2024-08-03,519.2,2024,31
2024-08-10,503.3,2024,32
2024-08-17,529.1,2024,33
2024-08-24,526.3,2024,34
2024-08-31,509.7,2024,35
2024-09-07,488.9,2024,36
2024-09-14,540.0,2024,37
2024-09-21,528.6,2024,38
2024-09-28,539.7,2024,39
2024-10-05,548.8,2024,40
2024-10-12,548.7,2024,41
2024-10-19,553.4,2024,42
2024-10-26,552.4,2024,43
2024-11-02,565.9,2024,44
2024-11-09,556.4,2024,45
2024-11-16,564.4,2024,46
2024-11-23,549.9,2024,47
2024-11-30,490.5,2024,48
2024-12-07,559.9,2024,49
2024-12-14,551.7,2024,50
2024-12-21,557.7,2024,51
2024-12-28,444.0,2024,52
2025-01-04,490.8,2025,1
2025-01-11,548.7,2025,2
2025-01-18,571.7,2025,3
2025-01-25,540.8,2025,4
2025-02-01,561.8,2025,5
2025-02-08,553.6,2025,6
2025-02-15,551.2,2025,7
2025-02-22,548.7,2025,8
2025-03-01,551.7,2025,9
2025-03-08,524.1,2025,10
2025-03-15,542.4,2025,11
2025-03-22,522.8,2025,12
2025-03-29,535.7,2025,13
2025-04-05,543.9,2025,14
2025-04-12,538.4,2025,15
2025-04-19,514.4,2025,16
2025-04-26,527.5,2025,17
2025-05-03,539.5,2025,18
2025-05-10,528.9,2025,19
2025-05-17,520.4,2025,20
2025-05-24,511.2,2025,21
2025-05-31,462.4,2025,22
2025-06-07,506.8,2025,23
2025-06-14,511.1,2025,24
2025-06-21,508.5,2025,25
2025-06-28,516.4,2025,26
2025-07-05,395.1,2025,27
2025-07-12,500.9,2025,28
2025-07-19,495.3,2025,29
2025-07-26,490.9,2025,30
2025-08-02,492.3,2025,31
2025-08-09,495.1,2025,32
2025-08-16,507.7,2025,33
2025-08-23,504.5,2025,34
2025-08-30,497.6,2025,35
2025-09-06,483.1,2025,36
2025-09-13,524.4,2025,37
2025-09-20,544.2,2025,38
2025-09-27,536.8,2025,39
2025-10-04,553.3,2025,40
2025-10-11,549.7,2025,41
2025-10-18,584.1,2025,42
2025-10-25,555.3,2025,43
2025-11-01,553.7,2025,44
2025-11-08,567.3,2025,45
2025-11-15,587.3,2025,46
2025-11-22,571.3,2025,47
2025-11-29,453.0,2025,48
2025-12-06,587.7,2025,49
