report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2009-11-07,,,,,,,66700.0,,2009,45
2009-11-14,,,,,,,67400.0,,2009,46
2009-11-21,,,,,,,67600.0,,2009,47
2009-11-28,,,,,,,42500.0,,2009,48
2009-12-05,,,,,,,69700.0,,2009,49
2009-12-12,,,,,,,64400.0,,2009,50
2009-12-19,,,,,,,43700.0,,2009,51
2009-12-26,,,,,,,,,2009,52
2010-01-02,,,,,,,59100.0,,2010,1
2010-01-09,,,,,,,59000.0,,2010,2
2010-01-16,,,,,,,61800.0,,2010,3
2010-01-23,,,,,,,63330.0,,2010,4
2010-01-30,,,,,,,57800.0,,2010,5
2010-02-06,,,,,,,55200.0,,2010,6
2010-02-13,,,,,,,53800.0,,2010,7
2010-02-20,,,,,,,57700.0,,2010,8
2010-02-27,,,,,,,61900.0,,2010,9
2010-03-06,,,,,,,61000.0,,2010,10
2010-03-13,,,,,,,61600.0,,2010,11
2010-03-20,,,,,,,61400.0,,2010,12
2010-03-27,,,,,,,61200.0,,2010,13
2010-04-03,,,,,,,56500.0,,2010,14
2010-04-10,,,,,,,56800.0,,2010,15
2010-04-17,,,,,,,56700.0,,2010,16
2010-04-24,,,,,,,55400.0,,2010,17
2010-05-01,,,,,,,54700.0,,2010,18
2010-05-08,,,,,,,55400.0,,2010,19
2010-05-15,,,,,,,54200.0,,2010,20
2010-05-22,,,,,,,55500.0,,2010,21
2010-05-29,,,,,,,53900.0,,2010,22
2010-06-05,,,,,,,48700.0,,2010,23
2010-06-12,,,,,,,56100.0,,2010,24
2010-06-19,,,,,,,54500.0,,2010,25
2010-06-26,,,,,,,53500.0,,2010,26
2010-07-03,,,,,,,54100.0,,2010,27
2010-07-10,,,,,,,51900.0,,2010,28
2010-07-17,,,,,,,56400.0,,2010,29
2010-07-24,,,,,,,53800.0,,2010,30
2010-07-31,,,,,,,56000.0,,2010,31
2010-08-07,,,,,,,54300.0,,2010,32
2010-08-14,,,,,,,53100.0,,2010,33
2010-08-21,,,,,,,56200.0,,2010,34
2010-08-28,,,,,,,58200.0,,2010,35
2010-09-04,,,,,,,56200.0,,2010,36
2010-09-11,,,,,,,52300.0,,2010,37
2010-09-18,,,,,,,58700.0,,2010,38
2010-09-25,,,,,,,58900.0,,2010,39
2010-10-02,,,,,,,58600.0,,2010,40
2010-10-09,,,,,,,60900.0,,2010,41
2010-10-16,,,,,,,61200.0,,2010,42
2010-10-23,,,,,,,61900.0,,2010,43
2010-10-30,,,,,,,62900.0,,2010,44
2010-11-06,,,,,,,64300.0,,2010,45
2010-11-13,,,,,,,64100.0,,2010,46
2010-11-20,,,,,,,62600.0,,2010,47
2010-11-27,,,,,,,40900.0,,2010,48
2010-12-04,,,,,,,64700.0,,2010,49
2010-12-11,,,,,,,61700.0,,2010,50
2010-12-18,,,,,,,64700.0,,2010,51
2010-12-25,,,,,,,61700.0,,2010,52
2011-01-01,,,,,,,45000.0,,2011,1
2011-01-08,,,,,,,56700.0,,2011,2
2011-01-21,,,,,,,57900.0,,2011,3
2011-01-28,,,,,,,56700.0,,2011,4
